title,start_date_f,end_date_f,lat,lng,address,description,tags,source
Maker Open Lab,2015-11-19T22:00:00Z,2015-11-20T00:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Use YOUmedia's maker equipment to pursue your own projects. Learn to design and print in 3D or use the vinyl cutter to create stickers, stencils, or decals. Have an idea of your own? Come in and make it happen!",[],library
GGC Drawing Club,2015-11-19T22:30:00Z,2015-11-20T00:00:00Z,41.7623,-87.6005,"1000 E. 73rd Street, Chicago, IL 60619","Teens and pre-teens gather for socialization, snacks, and drawing practice.  Come share your favorite manga or anime, get freebies, and practice your sketching or inking.",[],library
The Great Artdoors,2015-11-19T23:00:00Z,2015-11-20T00:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","The Great Artdoors is YOUmedia's public art and design workshop. Come learn and create art using professional, unconventional and experimental techniques!",[],library
Family Craft Night,2015-11-20T00:30:00Z,2015-11-20T01:30:00Z,41.762506,-87.563816,"2505 E. 73rd Street, Chicago, IL 60649",Use your creativity to contribute to a group art project with your friends and family&nbsp;or make a craft to take home with you.,[],library
Knitting Circle,2015-11-20T00:30:00Z,2015-11-20T01:30:00Z,41.925437,-87.657573,"1150 W. Fullerton Avenue, Chicago, IL 60614","Are you an aspiring knitter?  Come and learn basic knitting skills in this 6-week program.  Materials will be provided by the branch.  If you would like to take your work home, please bring knitting needles.",[],library
Board Games &amp; Card Games: The Real Challenge,2015-11-21T17:00:00Z,2015-11-21T21:00:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608",Strategize and challenge your opponent(s) to survive fun quests.,[],library
A Winter Harp Recital with Janelle Lake and Students,2015-11-21T18:00:00Z,2015-11-21T19:00:00Z,41.881111,-87.679283,"6 S. Hoyne Avenue, Chicago, IL 60612",Join our friends from Engineering for Kids and learn how to use Multimedia Fusion 2 to create your own side-scrolling platform video game.,[],library
Underground Feedback Stereo,2015-11-21T19:00:00Z,2015-11-21T21:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Learn basic recording techniques, music publishing, social media promotion and music production. We will guide you through the process of becoming an independent musician.",[],library
Film Screening: &quot;In The Game&quot;,2015-11-21T20:00:00Z,2015-11-21T22:00:00Z,41.80105,-87.726459,"5055 S. Archer Avenue, Chicago, IL 60632","<img src=""https://chipublib.bibliocommons.com/events/uploads/images/full/a6cc0dae4cbfe62ec006e193d1b07d64/inthegame-fence-resized.jpg"" alt="""" style=""margin: auto; display: block;"">Join us for a screening of the new documentary film from Kartemquin Films, <a href=""https://www.kartemquin.com/films/in-the-game/""><em>In The Game</em></a>. ",[],library
Archery for Beginners,2015-11-21T20:00:00Z,2015-11-21T21:00:00Z,41.778837,-87.723538,"4020 W. 63rd Street, Chicago, IL 60629",  ,[],library
