black1,red1,strike1,black2,red2,strike2,title,start_date_f,end_date_f,lat,lng,address,description,tags,source
0,0,0,0,0,0,Art &amp; Graphic Design,2015-08-04T20:00:00Z,2015-08-04T21:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Work with our artists to learn and improve skills in art and graphic design. Get hands on with pencils, paint, tablets, and printing, and design with Photoshop and Illustrator. Whether you want to make a flyer, design a t-shirt, or make a masterpiece, this workshop will offer tools and guidance.",art/entertainment,library
0,0,0,0,0,0,YOUmedia New Media Arts in Painting &amp; Drawing,2015-08-04T21:00:00Z,2015-08-04T23:00:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608","Arts and crafts aficionados use Fresh Paint, a new media arts Microsoft app, to paint and draw on canvases in ways that make the end product look like it was handmade.",art/entertainment,library
0,0,0,0,0,0,Tactical Tuesday,2015-08-04T21:00:00Z,2015-08-04T22:00:00Z,41.87934,-87.725415,"115 S. Pulaski Road, Chicago, IL 60624",Love games and gaming? Then you need to come meet some other teens with similar interests and check out our PS3 and game collection while you're at it. For teens in grades 9 through 12.,art/entertainment,library
0,0,0,0,0,0,Teen Tech Club: littleBits,2015-08-04T21:00:00Z,2015-08-04T22:30:00Z,41.938837,-87.754554,"5108 W. Belmont Avenue, Chicago, IL 60641","In our third circuit workshop, learn how to create them in seconds by using littleBit kits. Everything is color coded and magnetic.  It's perfect for beginners.  Ages 11 and up welcome.",art/entertainment,library
0,0,0,0,0,0,Chess on the EDGE,2015-08-04T22:30:00Z,2015-08-05T00:45:00Z,41.990996,-87.660757,"6000 N. Broadway, Chicago, IL 60660","Chess on the EDGE meets on the first and third Tuesday of each month for open play, game analysis, teaching, and tactical problems. An experienced player is present to facilitate each meeting. Participants must be at least eight years old. All levels are welcome.",entertainment,library
0,0,0,0,0,0,YOUmedia Create Wednesday ,2015-08-05T19:00:00Z,2015-08-05T23:00:00Z,41.808817,-87.675101,"2111 W. 47th Street, Chicago, IL 60609","Draw, make zines and do crafts. ",art/entertainment,library
0,0,0,0,0,0,Teen Reading Cafe,2015-08-05T19:00:00Z,2015-08-05T19:30:00Z,41.808817,-87.675101,"2111 W. 47th Street, Chicago, IL 60609", Work on your summer reading a bit at a time over a tasty beverage.,art/entertainment,library
1,0,0,0,0,0,Explore Photography &amp; Video,2015-08-05T19:00:00Z,2015-08-05T20:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Take your knowledge of video and photography to a new level by planning a solo or group trip to a place of your choice. The trip will require research into a location, a theme, other artists, and planning, but the results will be totally unique!",art/entertainment,library
0,0,0,0,0,0,YOUmedia Open Hours,2015-08-05T20:00:00Z,2015-08-05T22:30:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608","Come hang out and mess around with all our tech gear, including laptops, a 3D printer, a sticker maker and video games. Learn how to make simple crafts like buttons to stop motion animation. Every day is different so feel free to drop in!",art/entertainment,library
0,0,0,0,0,0,Trivia Game and Wrap Party,2015-08-05T21:00:00Z,2015-08-05T23:00:00Z,41.80105,-87.726459,"5055 S. Archer Avenue, Chicago, IL 60632",Gather your team and test your knowledge in our Trivia Game. Each member of the winning team will get a pen that can draw working circuits! We'll also raffle off prizes for the <strong>Achieve</strong> and <strong>Supernova </strong>badge-earners and enjoy some <em>free snacks and drinks.</em>,art/entertainment,library
